,Title,Author,Issue,Type ,Description,Date
425,Keeping up with New Legal Titles,"Keele, Benjamin J.",Issue 2,reviews,Review Article ,2016
426,Keeping up with New Legal Titles,"Sexton, Nick",Issue 2,reviews,Review Article ,2016
427,"Data, Data, Data","Whisner, Mary",Issue 2,article,Practicing Reference,2016
428,About Microaggressions,"Wheeler, Ronald",Issue 2,article,Diversity Dialogues,2016
429,Bartleby in the Law Library: Passive Aggression at Work,"Maxwell, Lynne F.",Issue 2,article,Making Management Work,2016
430,Understanding the Other International Agreements,"Harrington, Ryan",Issue 3,article,,2016
431,The Current State of E-Books in U.S. Law Libraries: A Survey,"Randtke, Wilhelmina",Issue 3,article,,2016
432,The Current State of E-Books in U.S. Law Libraries: A Survey,"Fowler, Stacy",Issue 3,article,,2016
433,Imagining the Use of Intelligent Agents and Artificial Intelligence in Academic Law Libraries,"Talley, Nancy B.",Issue 3,article,,2016
434,"The State of Legal Research Education: A Survey of First-Year Legal Research Programs, or Why Johnny and Jane Cannot Research","Osborne, Caroline L.",Issue 3,article,,2016
435,Due Diligence: Company Information for Law Students,"Morrison, Matthew M.",Issue 3,article,,2016
436,Keeping Up with New Legal Titles,"Keele, Benjamin J.",Issue 3,reviews,Review Article,2016
437,Keeping Up with New Legal Titles,"Sexton, Nick",Issue 3,reviews,Review Article,2016
438,"Batlan, Felice. Women and Justice for the Poor: A History of Legal Aid, 1863-1945","Kiel-Morse, Margaret",Issue 3,reviews,Book Review,2016
439,"Book Review, Principles of Legal Research, Second Edition","Wester, Candle M.",Issue 3,reviews,,2016
440,"Posner, Richard A. Divergent Paths: The Academy and the Judiciary","Baker, Jamie J.",Issue 3,reviews,Book Review,2016
441,Constitutional Personae,"Umberger, Michael N.",Issue 3,reviews,Book Review,2016
442,On Specialized Legal Research,"Whisner, Mary",Issue 3,article,Practicing Reference,2016
443,On Empathy,"Wheeler, Ronald",Issue 3,article,Diversity Dialogues,2016
444,Memorial: John J. McNeill (1949-2016),"Newman, Marie Stefanini",Issue 3,article,,2016
445,Memorial: John J. McNeill (1949-2016),"Gannon, Vicky",Issue 3,article,,2016
446,Memorial: John J. McNeill (1949-2016),"Pidgeon, Alice",Issue 3,article,,2016
447,Memorial: John J. McNeill (1949-2016),"Pittson, Cynthia",Issue 3,article,,2016
448,Memorial: John J. McNeill (1949-2016),"Currurullo, Maria",Issue 3,article,,2016
449,Memorial: John J. McNeill (1949-2016),"Harcharan, Pamela",Issue 3,article,,2016
450,The Need for Experiential Legal Research Education,"Drake, Alyson M.",Issue 4,article,,2016
451,Here Come Your New Colleagues: Are They Ready? A Survey of U.S. Library and Information Science Programs' Education of Aspiring Law Librarians,"Caulfield, Elizabeth",Issue 4,article,,2016
452,Human Subjects Research Review: Scholarly Needs and Service Opportunities,"Ryan, Sarah E.",Issue 4,article,,2016
453,Discovering the Knowledge Monopoly of Law Librarianship under the DIKW Pyramid,"Zhang, Alex",Issue 4,article,,2016
454,Third Circuit Court Reports (1789-1879),"Fishman, Joel",Issue 4,article,,2016
455,Keeping up with New Legal Titles,"Keele, Benjamin J.",Issue 4,article,Review Article,2016
456,Keeping up with New Legal Titles,"Sexton, Nick",Issue 4,article,Review Article,2016
457,"Thomas, Gillian. Because of Sex: One Law, Ten Cases, and Fifty Years that Changed American Women's Lives at Work","Strickland, Melissa",Issue 4,reviews,Book Review,2016
458,Memorial: Peter S. Nycum (1941-2015),"Gierloff, Tami",Issue 4,article,Regular Features,2016
459,Memorial: Peter S. Nycum (1941-2015),"Pike, George H.",Issue 4,article,Regular Features,2016
460,Memorial: Peter S. Nycum (1941-2015),"Truman, Robert M.",Issue 4,article,Regular Features,2016
461,Memorial: Erwin C. Surrency (1924-2012),"Fishman, Joel",Issue 4,article,Regular Features,2016
462,Diversity: How Is AALL Doing,"Donovan, James M.",Issue 1,article,,2017
463,The Law School Library or the Library at the Law School: How Lessons from Other Types of Libraries Can Inform the Evolution of the Academic Law Library in the Digital Age,"Gorham, Ursual",Issue 1,article,,2017
464,The Law School Library or the Library at the Law School: How Lessons from Other Types of Libraries Can Inform the Evolution of the Academic Law Library in the Digital Age,"Jaeger, Paul T.",Issue 1,article,,2017
465,Law Libraries and the Future of Public Access to Born-Digital Government Information,"Kunkel, Rebecca",Issue 1,article,,2017
466,Increasing Article Findability Online: The Four Cs of Search Engine Optimization,"Marks, Taryn",Issue 1,article,,2017
467,Increasing Article Findability Online: The Four Cs of Search Engine Optimization,"Le, Avery",Issue 1,article,,2017
468,Legal Research Instruction and Law Librarianship in China: An Updated View of Current Practices and Comparison with the U.S. Legal Education System,"Han, Ning",Issue 1,article,,2017
469,Legal Research Instruction and Law Librarianship in China: An Updated View of Current Practices and Comparison with the U.S. Legal Education System,"Yu, Liying",Issue 1,article,,2017
470,Legal Research Instruction and Law Librarianship in China: An Updated View of Current Practices and Comparison with the U.S. Legal Education System,"Mostad-Jensen, Anne",Issue 1,article,,2017
471,Keeping up with New Legal Titles [2017-6],"Keele, Benjamin J.",Issue 1,reviews,Review Article,2017
472,Keeping up with New Legal Titles [2017-6],"Sexton, Nick",Issue 1,reviews,Review Article,2017
473,Flipped Classrooms for Legal Education,"Rosen, Louis M.",Issue 1,reviews,,2017
474,Practicing Reference: Lexicographer for a Day,"Whisner, Mary",Issue 1,article,Regular Features,2017
475,Memorial: Mortimer D. Schwartz (1922-2016),"Kehoe, Patrick E.",Issue 1,article,Regular Features,2017
476,Memorial: Mortimer D. Schwartz (1922-2016),"Janes, Judy C.",Issue 1,article,Regular Features,2017
477,Memorial: Franklin Atwater Weston (1934-2016),"Adkins, John W.",Issue 1,article,Regular Features,2017
478,Are Recorded Lectures Better than Live Lectures for Teaching Students Legal Research,"Bahnson, Jane",Issue 2,article,,2017
479,Are Recorded Lectures Better than Live Lectures for Teaching Students Legal Research,"Olejnikova, Lucie",Issue 2,article,,2017
480,Resurrecting (and Modernizing) the Research Treasure Hunt,"Vettorello, Nancy",Issue 2,article,,2017
481,Blurred Lines - Intersexuality and the Law: An Annotated Bibliography,"Newcombe, Pat",Issue 2,article,,2017
482,Are You a Member of the Law School Community: Access Policies at Academic Law Libraries and Access to Justice,"Reis, Sarah",Issue 2,article,,2017
483,The Academic Law Library in the Age of Affiliations: A Case Study of the University of New Hampshire Law Library,"Mignanelli, Nicholas",Issue 2,article,,2017
484,Legal History Learned as Legal Bibliography Well Told: The Case for Rare Book Courses in the Law School Curriculum,"Lind, Douglas W.",Issue 2,comments,Essay,2017
485,Keeping up with New Legal Titles,"Keele, Benjamin J.",Issue 2,reviews,Review Article,2017
486,Keeping up with New Legal Titles,"Sexton, Nick",Issue 2,reviews,Review Article,2017
487,Locked Down: Practical Information Security for Lawyers,"Ross, Eve",Issue 2,reviews,Book Review,2017
488,"Thomas, Suja A. The Missing American Jury: Restoring the Fundamental Constitutional Role of the Criminal, Civil, and Grand Juries","Young, Eric W.",Issue 2,reviews,Book Review,2017
489,Service within and beyond Our Walls,"Whisner, Mary",Issue 2,article,Practicing Reference,2017
490,William J. (Bill) Beintema (1944-2015),"Childs, Scott",Issue 2,article,Memorial,2017
491,William J. (Bill) Beintema (1944-2015),"Marshall, Sibyl",Issue 2,article,Memorial,2017
492,William J. (Bill) Beintema (1944-2015),"Price, Loretta",Issue 2,article,Memorial,2017
493,A (Mostly) Legislative History of the Defend Trade Secrets Act of 2016,"Cannan, John",Issue 3,article,,2017
494,The Algorithm as a Human Artifact: Implications for Legal [Re]Search,"Mart, Susan Nevelow",Issue 3,article,,2017
495,"To Leave or Not to Leave - Law Libraries and the FDLP: A Decade Later, Is That Still the Question","Collins, Lauren Michelle",Issue 3,article,,2017
496,Leveraging Academic Law Libraries to Expand Access to Justice,"McLaughlin, Paul Jr.",Issue 3,article,,2017
497,"How to Stop Feeling like a Phony in Your Library: Recognizing the Causes of the Imposter Syndrome, and How to Put a Stop to the Cycle","Rakestraw, Lacy",Issue 3,article,,2017
498,Adnan's Story: The Search for Truth and Justice after Serial,"Song, Chi Hyon",Issue 3,reviews,Keeping up with New Legal Titles,2017
499,"Iowa Legal Research, Second Edition","Templo-Capule, Marie S.",Issue 3,reviews,Keeping up with New Legal Titles,2017
500,Digital Rights Management: The Librarians's Guide,"Moser, Annalee Hickman",Issue 3,reviews,Keeping up with New Legal Titles,2017
501,Writing the Legal Record: Law Reporters in Nineteenth-Century Kentucky,"Seidler, Rena",Issue 3,reviews,Keeping up with New Legal Titles,2017
502,ProQuest Regulatory Insight,"Brannon, Pamela C.",Issue 3,reviews,Keeping up with New Legal Titles,2017
503,Negotiating Strengths,"Whisner, Mary",Issue 3,article,Practicing Reference,2017
504,Nation Building and Law Collections: The Remarkable Development of Comparative Law Libraries in the United States,"Clark, David S.",Issue 4,article,,2017
505,Surprising Differences: An Empirical Analysis of LexisNexis and West Headnotes in the Written Opinions of the 2009 Supreme Court Term,"Hook, Peter A.",Issue 4,article,,2017
506,Surprising Differences: An Empirical Analysis of LexisNexis and West Headnotes in the Written Opinions of the 2009 Supreme Court Term,"Mattson, Kurt R.",Issue 4,article,,2017
507,Improving Lives by Building Social Capital: A New Way to Frame the Work of Law Libraries,"Metheny, Ryan",Issue 4,article,,2017
508,The Strategic Academic Law Library Director in the Twenty-First Century,"Studwell, Roberta F.",Issue 4,article,,2017
509,Law for Farmers in Nineteenth-Century America,"Chandler, R. B. Jr.",Issue 4,article,,2017
510,Law for Farmers in Nineteenth-Century America,"Hoeflich, M. H.",Issue 4,article,,2017
511,Keeping up with New Legal Titles,"Keele, Benjamin J.",Issue 4,article,Review Article,2017
512,Keeping up with New Legal Titles,"Sexton, Nick",Issue 4,article,Review Article,2017
513,Incorporating Race into Your Legal Research Class,"Dalton, Shamika",Issue 4,article,Diversity Dialogues,2017
514,The Teaching of Legal Bibliography,"Hicks, Frederick C.",Issue 1,article,,1918
515,The Valuation of a Law Library,"Mettee, Andrew H.",Issue 1,article,,1918
516,Editing the Session Laws of the State of New York,"Fitzpatrick, John T.",Issue 2,article,,1918
517,The Effect of the World War on Anglo-American Legal Literature,"Hicks, Frederick C.",Issue 2,article,,1918
518,The Massachusetts Constitutional Convention,"Evans, Lawrence B.",Issue 3,article,,1918
519,Citations of Current Legal Periodicals and Reports,"Schmehi, Lawrence H.",Issue 3,index,,1918
520,Cataloging According to Legal Principles,"Klingelsmith, Margaret Center",Issue 4,article,,1918
521,2018: A Legal Research Odyssey: Artificial Intelligence as Disruptor,"Baker, Jamie J.",Issue 1,article,,2018
522,"Access to Print, Access to Justice","Mattioli, Kimberly",Issue 1,article,,2018
523,The Reference Assistant,"Moser, Annalee Hickman",Issue 1,article,,2018
524,The Reference Assistant,"Murphy, Felicity",Issue 1,article,,2018
525,The History of the University of New Mexico School of Law Librarians' Fight for Faculty Status and Equal Voting Rights,"Longa, Ernesto A.",Issue 1,article,,2018
526,Remaking the Public Law Library into a Twenty-First Century Legal Resource Center,"Harmon, Mark G.",Issue 1,article,,2018
527,Remaking the Public Law Library into a Twenty-First Century Legal Resource Center,"Grzybowski, Shannon",Issue 1,article,,2018
528,Remaking the Public Law Library into a Twenty-First Century Legal Resource Center,"Thompson, Bryan",Issue 1,article,,2018
529,Remaking the Public Law Library into a Twenty-First Century Legal Resource Center,"Cross, Stephanie",Issue 1,article,,2018
530,Keeping up with New Legal Titles,"Keele, Benjamin J.",Issue 1,article,Review Article,2018
531,Keeping up with New Legal Titles,"Sexton, Nick",Issue 1,article,Review Article,2018
532,"My Year of Citation Studies, Part 1","Whisner, Mary",Issue 1,article,Practicing Reference,2018
533,Access to the Justices' Papers: A Better Balance,"deMaine, Susan David",Issue 2,article,,2018
534,Horseless Carriages with Buggy-Whip Holders: The Failure of Legal Citation Reform in the 1990s,"Rasmussen, Jamie Pamela",Issue 2,article,,2018
535,A History of the Digests,"Eshleman, Michael O.",Issue 2,article,,2018
536,Keeping up with New Legal Titles,"Keele, Benjamin J.",Issue 2,article,Review Article,2018
537,Keeping up with New Legal Titles,"Sexton, Nick",Issue 2,article,Review Article,2018
538,"Practicing Reference: My Year of Citation Studies, Part 2","Whisner, Mary",Issue 2,article,Regular Features,2018
539,Memorial: Alfred Joseph (Al) Coco (1933-2017),"Kehoe, Patrick E.",Issue 2,article,Regular Features,2018
540,Memorial: Alfred Joseph (Al) Coco (1933-2017),"Haythorn, Denny",Issue 2,article,Regular Features,2018
541,Memorial: Alfred Joseph (Al) Coco (1933-2017),"Gasaway, Laura N.",Issue 2,article,Regular Features,2018
542,Memorial: Alfred Joseph (Al) Coco (1933-2017),"Estes, Mark E.",Issue 2,article,Regular Features,2018
543,District Court Opinions That Remain Hidden Despite a Long-Standing Congressional Mandate of Transparency - the Result of Judicial Autonomy and Systemic Indiffernece,"Martin, Peter W.",Issue 3,article,,2018
544,"Sources of Alaska Legal History: An Annotated Bibliography, Part I","Sterling, W. Clinton",Issue 3,article,,2018
545,Keeping up with New Legal Titles,"Keele, Benjamin J.",Issue 3,article,Review Article,2018
546,Keeping up with New Legal Titles,"Sexton, Nick",Issue 3,article,Review Article,2018
547,"Practicing Reference: My Year of Citation Studies, Part 3","Whisner, Mary",Issue 3,article,,2018
548,Diversity Dialogues: Navigating Law Librarianship While Black: A Week in the Life of a Black Female Law Librarian,"Dalton, Shamika D.",Issue 3,article,,2018
549,Diversity Dialogues: Navigating Law Librarianship While Black: A Week in the Life of a Black Female Law Librarian,"Mathapo, Gail",Issue 3,article,,2018
550,Diversity Dialogues: Navigating Law Librarianship While Black: A Week in the Life of a Black Female Law Librarian,"Sowers-Paige, Endia",Issue 3,article,,2018
551,From the Editor: The Last Chapter,"Duggan, James E.",Issue 4,editorial,Editorial,2018
552,"Evaluating Shepard's, KeyCite, and BCite for Case Validation Accuracy","Hellyer, Paul",Issue 4,article,,2018
553,"Sources of Alaska Legal History: An Annotated Bibliography, Part II","Sterling, W. Clinton",Issue 4,article,,2018
554,Keeping up with New Legal Titles,"Keele, Benjamin J.",Issue 4,article,Review Article,2018
555,Keeping up with New Legal Titles,"Sexton, Nick",Issue 4,article,Review Article,2018
556,"Noble, Safiya Umoja, Algorithms of Oppression: How Search Engines Reinforces Racism","Baker, Jamie J.",Issue 4,reviews,Book Review,2018
557,Review: D. L. Rhode's Cheating: Ethics in Everyday Life,"Braun, Matthew",Issue 4,reviews,Book Reviews,2018
558,"Practicing Reference: My Year of Citation Studies, Part 4","Whisner, Mary",Issue 4,article,Regular Features,2018
559,Memorial: George Stefan Grossman (1938-2018),"Kehoe, Patrick E.",Issue 4,article,Regular Features,2018
560,Memorial: George Stefan Grossman (1938-2018),"Janes, Judy",Issue 4,article,Regular Features,2018
561,On Embracing the Research Conference (2019-2),"Drake, Alyson M.",Issue 1,article,,2019
562,Physician-Assisted Death: A Selected Annotated Bibliography,"Thurston, Alyssa",Issue 1,article,,2019
563,"A Day in My Law Library Life, Circa 2018","Frey, Scott",Issue 1,article,,2019
564,"A Day in My Law Library Life, Circa 2018","Bannen, Carol",Issue 1,article,,2019
565,"A Day in My Law Library Life, Circa 2018","Bradley, Sharon",Issue 1,article,,2019
566,"A Day in My Law Library Life, Circa 2018","Brown, Cynthia",Issue 1,article,,2019
567,"A Day in My Law Library Life, Circa 2018","Reeve, Allison C.",Issue 1,article,,2019
568,"A Day in My Law Library Life, Circa 2018",Brown Kincaid C.,Issue 1,article,,2019
569,"A Day in My Law Library Life, Circa 2018","Cosby, Michelle",Issue 1,article,,2019
570,"A Day in My Law Library Life, Circa 2018","Darby, Della H.",Issue 1,article,,2019
571,"A Day in My Law Library Life, Circa 2018","Duggan, James E.",Issue 1,article,,2019
572,"A Day in My Law Library Life, Circa 2018","Gotschall, Sarah",Issue 1,article,,2019
573,"A Day in My Law Library Life, Circa 2018","King, Dwight",Issue 1,article,,2019
574,"A Day in My Law Library Life, Circa 2018","McLaren, Margot",Issue 1,article,,2019
575,"A Day in My Law Library Life, Circa 2018","Russell, Anna",Issue 1,article,,2019
576,"A Day in My Law Library Life, Circa 2018","Slyhoff, Merle J.",Issue 1,article,,2019
577,"A Day in My Law Library Life, Circa 2018","Szymczak, Victoria",Issue 1,article,,2019
578,"A Day in My Law Library Life, Circa 2018","Westwood, Karen",Issue 1,article,,2019
579,"A Day in My Law Library Life, Circa 2018","Wheeler, Ronald E.",Issue 1,article,,2019
580,"A Day in My Law Library Life, Circa 2018","Whisner, Mary",Issue 1,article,,2019
581,Sticking to the Union: A Study on the Unionization of Academic Law Libraries,"Slinger, Sarah C.",Issue 1,article,,2019
582,Retrospective: 30 Lessons Learned (and a Few Strokes of Luck) at the Crossroads,"Heller, James S.",Issue 1,article,,2019
583,Keeping up with New Legal Titles (2019-7),"Keele, Benjamin J.",Issue 1,reviews,Review Article,2019
584,Keeping up with New Legal Titles (2019-7),"Sexton, Nick",Issue 1,reviews,Review Article,2019
585,Tuesday Morning Detective Work (2019-8),"Whisner, Mary",Issue 1,article,Regular Features: Practicing Reference,2019
586,"From Stele to Silicon: Publication of Statutes, Public Access to the Law, and the Uniform Electronic Legal Material Act","Dingledy, Frederick W.",Issue 2,article,,2019
587,A Library Design Bookshelf,"Margeton, Stephen G.",Issue 2,article,,2019
588,Sustainable and Open Access to Valuable Legal Research Information: A New Framework,"Zhang, Alex",Issue 2,article,,2019
589,Sustainable and Open Access to Valuable Legal Research Information: A New Framework,"Hart, James",Issue 2,article,,2019
590,Keeping up with New Legal Titles,"Azyndar, Susan",Issue 2,reviews,Review Article,2019
591,Keeping up with New Legal Titles,"deMaine, Susan David",Issue 2,reviews,Review Article,2019
592,Journalism under Fire: Protecting the Future of Investigative Reporting,"Rosen, Louis M.",Issue 2,reviews,,2019
593,Beyond the Annals of Murder: The Life and Works of Thomas M. McDade,"Behrens, Jennifer L.",Issue 3,article,,2019
594,The Case for County Law Library Consortia,"Kostek, Meredith Weston",Issue 3,article,,2019
595,Legal Education and Technology III: An Annotated Bibliography,"Goldman, Pearl",Issue 3,article,,2019
596,Keeping up with New Legal Titles,"Azyndar, Susan",Issue 3,reviews,Review Article,2019
597,Keeping up with New Legal Titles,"deMaine, Susan David",Issue 3,reviews,Review Article,2019
598,"The Library of Robert Morris, Antebellum Civil Rights Lawyer and Activist","Davis, Laurel",Issue 4,article,,2019
599,"The Library of Robert Morris, Antebellum Civil Rights Lawyer and Activist","Bilder, Mary Sarah",Issue 4,article,,2019
600,Back to the Future: ABA Law School Accreditation in the 21st Century and America's First Law School's Battle to Survive in the 1970s,"Heller, James S.",Issue 4,article,,2019
601,Back to the Future: ABA Law School Accreditation in the 21st Century and America's First Law School's Battle to Survive in the 1970s,"Zagata, Simon F.",Issue 4,article,,2019
602,How Many Copies Are Enough Revisited: Open Access Legal Scholarship in the Time of Collection Budget Constraints,"Brown, Kincaid C.",Issue 4,article,,2019
603,Revisiting the Open Access Citation Advantage for Legal Scholarship,"Beatty, John R.",Issue 4,article,,2019
604,Keeping up with New Legal Titles,"Azyndar, Susan",Issue 4,reviews,Review Article,2019
605,Keeping up with New Legal Titles,"deMaine, Susan David",Issue 4,reviews,Review Article,2019
606,"Copyright's Highway: From the Printing Press to the Cloud, Second Edition","Manriquez, Elizabeth",Issue 4,reviews,,2019
607,Looking for Waldo,"Whisner, Mary",Issue 4,article,Regular Features: Practicing Reference,2019
608,Reinforcing the Infrastructure of Legal Research through Court-Authored Metadata,"Martineau, Andrew J.",Issue 1,article,,2020
609,Case Western Reserve University Law School Library: 125 Years,"Custer, Joseph A.",Issue 1,article,,2020
610,"The Gaps Model and Faculty Services: Quality Analysis through a ""New"" Lens","Zhang, Alex",Issue 1,article,,2020
611,"The Gaps Model and Faculty Services: Quality Analysis through a ""New"" Lens","Chen, Sherry Xin",Issue 1,article,,2020
612,"Academic Law Library Director Status since the Great Recession: Strengthened, Maintained, or Degraded?","Adelman, Elizabeth G.",Issue 1,article,,2020
613,"Academic Law Library Director Status since the Great Recession: Strengthened, Maintained, or Degraded?","Shephard, Karen L.",Issue 1,article,,2020
614,"Academic Law Library Director Status since the Great Recession: Strengthened, Maintained, or Degraded?","Patti, Richard J.",Issue 1,article,,2020
615,"Academic Law Library Director Status since the Great Recession: Strengthened, Maintained, or Degraded?","Adelman, Robert M.",Issue 1,article,,2020
616,Lincoln's Last Trial: The Murder Case That Propelled Him to the Presidency; Theodore Roosevelt for the Defense,"Steinke, Matthew R.",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
617,"Robotics, AI and the Future of Law","Bensley, Sara",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
618,How Whiskey Law Shaped America,"Ziegler, Stephanie",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
619,Justice on Trial: The Kavanaugh Confirmation and the Future of the Supreme Court,"Cooper, Matthew S.",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
620,Inconsistency and Indecision in the United States Supreme Court,"Lewis, Sarah A.",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
621,The United States Constitution in Film: Part of Our National Culture,"Umberger, Michael N.",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
622,"Judith S. Kaye in Her Own Words: Reflections on Life and the Law, with Selected Judicial Opinions and Articles","Dixon, Jennifer",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
623,You Don't Look like a Lawyer: Black Women and Systemic Gendered Racism,"Johnson, Tanya M.",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
624,A History of Intellectual Property in 50 Objects,"Haendler, David M.",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
625,The Making of a Justice: Reflections on My First 94 Years,"Roddy, Shannon",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
626,The Secret Rules That Govern Our Digital Lives,"Alexander, Andrea",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
627,First: Sandra Day O'Connor,"Rothenberg, Kevin",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
628,How to Read the Constitution and Why,"Seeger, Vanessa",Issue 1,reviews,Review Article: Keeping up with New Legal Titles,2020
629,"Law, Artificial Intelligence, and Natural Language Processing: A Funny Thing Happened on the Way to My Search Results","Callister, Paul D.",Issue 2,article,,2020
630,The Shadow Code: Statutory Notes in the United States Code,"Nevers, Shawn G.",Issue 2,article,,2020
631,The Shadow Code: Statutory Notes in the United States Code,"Krishnaswami, Julie Graves",Issue 2,article,,2020
632,A Different Democratic Divide: How the Current U.S. Online Court Record System Exacerbates Inequality,"von Wiegen, Lisa",Issue 2,article,,2020
633,A Different Democratic Divide: How the Current U.S. Online Court Record System Exacerbates Inequality,"Oltmann, Shannon M.",Issue 2,article,,2020
634,Justice in Plain Sight: How a Small-Town Newspaper and Its Unlikely Lawyer Opened America's Courtrooms,"Newman, Mariana",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
635,"Exposure: Poisoned Water, Corporate Greed, and One Lawyer's Twenty-Year Battle against DuPont","Hennen, Alisha",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
636,Prosecuting the President: How Special Prosecutors Hold Presidents Accountable and Protect the Rule of Law,"Zarin, Babak",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
637,A Human Algorithm: How Artificial Intelligence Is Redefining Who We Are,"Retteen, Aaron",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
638,The Pursuit of Happiness in the Founding Era: An Intellectual History,"Neely, Matthew",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
639,Assessment Strategies in Technical Services,"Mart-Rice, Jennifer",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
640,The Second Founding: How the Civil War and Reconstruction Remade the Constitution,"Chapman, Jennifer E.",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
641,The Nonsense Factory: The Making and Breaking of the American Legal System,"Ott, Katie",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
642,Future-Proofing the News: Preserving the First Draft of History,"Lang, Andrew W.",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
643,Strategic Planning for Academic Libraries: A Step-by-Step Guide,"Chiu-Ousland, Gilda",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
644,Legal Research Demystified: A Step-by-Step Approach,"Smith, Pamela G.",Issue 2,reviews,Review Article: Keeping up with New Legal Titles,2020
645,Affordable Content in Legal Education,"Lenz, Connie",Issue 3,article,,2020
646,Critical Legal Research: Who Needs It?,"Mignanelli, Nicholas",Issue 3,article,,2020
647,Fixing Law Schools: From Collapse to the Trump Bump and beyond,"Scotese, Ariel",Issue 3,reviews,Review Article: Keeping up with New Legal Titles,2020
648,"The Science behind the Art of Legal Writing, Second Edition","Curtis, Whitney A.",Issue 3,reviews,Review Article: Keeping up with New Legal Titles,2020
649,Tough Cases: Judges Tell the Stories of Some of the Hardest Decisions They've Ever Made,"Galligan, Sara",Issue 3,reviews,Review Article: Keeping up with New Legal Titles,2020
650,Prison Librarianship Policy and Practice,"LaBossiere, Tarica",Issue 3,reviews,Review Article: Keeping up with New Legal Titles,2020
651,Invisible Women: Exposing Data Bias in a World Designed for Men,"Laskowski, Cas",Issue 3,reviews,Review Article: Keeping up with New Legal Titles,2020
652,"The Internet of Things: Legal Issues, Policy, and Practical Strategies","Holahan, Alisa",Issue 3,reviews,Review Article: Keeping up with New Legal Titles,2020
653,"The First: How to Think about Hate Speech, Campus Speech, Religious Speech, Fake News, Post-Truth, and Donald Trump","Kite, Rebecca",Issue 3,reviews,Review Article: Keeping up with New Legal Titles,2020
654,Usual Cruelty: The Complicity of Lawyers in the Criminal Injustice System,"Runge, Franklin L.",Issue 3,reviews,Review Article: Keeping up with New Legal Titles,2020
655,Law Librarianship in the Age of AI,"Yoon, Nam Jin",Issue 3,reviews,Review Article: Keeping up with New Legal Titles,2020
656,Correcting the Record: Post-Publication Corrections and the Integrity of Legal Scholarship,"Sinder, Janet",Issue 4,article,,2020
657,To Cite or Not to Cite: Is That Still a Question?,"Heller, Deborah L.",Issue 4,article,,2020
658,Yesterday's Monsters: The Manson Family Cases and the Illusion of Parole,"Lynch, Kathleen",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
659,"Power, Legal Education, and Law School Cultures","Baker, Jamie J.",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
660,Who Is to Judge?,"Caton, Stewart A.",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
661,Cultivating Civility: Practical Ways to Improve a Dysfunctional Library,"Ellis, Kaylan",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
662,Getting by: Economic Rights and Legal Protections for People with Low Income,"Zhang, Lei",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
663,"Law and People in Colonial America, Second Edition","Dingledy, Frederick W.",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
664,Shortlisted: Women in the Shadows of the Supreme Court,"Davis, Sabrina A.",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
665,"Abetting Batterers: What Police, Prosecutors and Courts Aren't Doing to Protect America's Women","Nicholson, Genevieve P.",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
666,The Rule of Five: Making Climate History at the Supreme Court,"Podvia, Mark W.",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
667,Automating Legal Services: Justice through Technology,"Pfeiffer, Sarah A.",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
668,Ending Book Hunger: Access to Print across Barriers of Class and Culture,"Simmons, Heather J. E.",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
669,Coaching Copyright,"Edwards, Eli",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
670,Online Courts and the Future of Justice,"Behrens, Jennifer L.",Issue 4,reviews,Review Article: Keeping up with New Legal Titles,2020
