Title,Author,Citation,Issue,Type ,Description,Year
Present Problems of Law-Book Publishers ,"Rich, Burdett A.",14 Law Libr. J. 87 (1921),Issue 4,article,,1921
About Buying Law Books,"Wire, G. E.",14 Law Libr. J. 97 (1921),Issue 4,comments,Open Forum,1921
Alexander H. R. Fraser: An Appreciation,"Willever, E. E. ",15 Law Libr. J. 1 (1922-23),Issue 1,comments,,1922
"Bibliography of Military and Naval Law, A ","Pulling, Arthur C.",15 Law Libr. J. 7 (1922-23),Issue 1,comments,Comment,1922
Notes on New Hampshire Statute Law,"Fitzpatrick, John T.",15 Law Libr. J. 9 (1922-23),Issue 1,notes,Notes,1922
The Library as a Business Enterprise,"Alexander, W. H.",15 Law Libr. J. 19 (1922-23),Issue 2,article,,1922
Edward Brinley Adams,"Anderson, Robert B.",15 Law Libr. J. 25 (1922-23),Issue 2,comments,Comment,1922
William George Eakins,"Elliott, Charles",15 Law Libr. J. 43 (1922-23),Issue 3,comments,Comment,1922
Indexing Legislation,"Fertig, John H.",15 Law Libr. J. 46 (1922-23),Issue 3,article,,1922
Indexing of Legislation,"Hicks, Frederick C.",15 Law Libr. J. 48 (1922-23),Issue 3,article,,1922
Need for an Index to Statute Law,"Woodard, Gertrude Elstner ",15 Law Libr. J. 50 (1922-23),Issue 3,article,,1922
Remarks on John William Wallace,"Hewitt, Luther E.",15 Law Libr. J. 61 (1922-23),Issue 4,comments,Comment,1922
J. G. Marvin: An Appreciation,"Klingelsmith, Margaret Center",15 Law Libr. J. 71 (1922-23),Issue 4,comments,Appreciation,1922
Sketch of the Life of William J. C. Berry,"McDaniel, Arthur S.",16 Law Libr. J. 1 (1923),Issue 1,article,,1923
Stephen B. Griswold,"Fitzpatrick, John T.",16 Law Libr. J. 4 (1923),Issue 1,comments,Comment,1923
Arba N. Crane,"Jordan, Gamble",16 Law Libr. J. 7 (1923),Issue 1,comments,Comment,1923
Conclusion of the Reprint of Massachusetts Bay Colonial Laws,"Wire, G. E.",16 Law Libr. J. 8 (1923),Issue 1,article,,1923
History of Michigan Law Libraries and Their Relation to General Libraries in Michigan ,"Lathrop, Olive C.",16 Law Libr. J. 15 (1923),Issue 3,article,,1923
Procedural Codes of the State of New York,"Fitzpatrick, John T.",17 Law Libr. J. 12 (1923-1925),Issue 3,article,,1923
Shelf Arrangement of State Reports,"Wire, G. E.",17 Law Libr. J. 26 (1923-1925),Issue 3,article,,1923
Ecclesiastical Law Books in a Law Library,"Cowley, J. D.",17 Law Libr. J. 43 (1923-1925),Issue 4,article,,1923
The Importance of Parliamentary Law to the Legal Profession,"Fess, Lehr",17 Law Libr. J. 48 (1923-1925),Issue 4,article,,1923
United States Public Documents as Law Books,"Miller, Clarence A.",18 Law Libr. J. 7 (1925),Issue 1,article,,1925
Famous and Curious Wills,"Day, Gladys Judd",18 Law Libr. J. 44 (1925),Issue 1,article,,1925
Law Libraries in Italy,"Musmanno, Michael Angelo",18 Law Libr. J. 59 (1925),Issue 2,article,,1925
The French Judiciary System,"Decugis, Henri",18 Law Libr. J. 68 (1925),Issue 2,article,,1925
"The Value of the Law Library to Layman, Legislator and Lawyer","Harris, Arthur M.",18 Law Libr. J. 72 (1925),Issue 2,article,,1925
"California's Constitution, Codes and Statutes","Ferguson, Milton J.",18 Law Libr. J. 80 (1925),Issue 2,article,,1925
"The Law School Library--A Library of Research for Lawyer, Layman, and Legislator","Beardsley, Arthur S.",18 Law Libr. J. 93 (1925),Issue 3,article,,1925
The Work of the American Law Institute and What It Means to the Law Librarian,"Glasier, Gilson G.",18 Law Libr. J. 96 (1925),Issue 3,article,,1925
Law Libraries in California,"Parma, Rosamond",18 Law Libr. J. 108 (1925),Issue 3,article,,1925
The Harvard Law School Library,"James, Eldon R.",18 Law Libr. J. 123 (1925),Issue 3,article,,1925
Address of Welcome to the American Association of Law Librarians,"Lundin, Alfred H.",18 Law Libr. J. 154 (1925),Issue 4,article,,1925
Law Libraries of the South,"Marshall, W. F.",18 Law Libr. J. 155 (1925),Issue 4,article,,1925
"The Value of the Law Library to Layman, Lawyer, and Legislator","Smoot, Lawrence Kelley",19 Law Libr. J. 2 (1926),Issue 1,article,,1926
"Why a Law Library: City, County or State","Bangs, Lena M.",19 Law Libr. J. 8 (1926),Issue 1,article,,1926
How We Obtain Our Books,"Wire, G. E.",19 Law Libr. J. 26 (1926),Issue 2,article,,1926
The Widening Scope of Law Librarianship,"Hicks, Frederick C.",19 Law Libr. J. 61 (1926),Issue 3,article,,1926
Law Libraries as the Source of the Study of History and Sociology,"Klingelsmith, Margaret C.",19 Law Libr. J. 67 (1926),Issue 3,article,,1926
The Revised Statutes of New York,"Fitzpatrick, John T.",19 Law Libr. J. 72 (1926),Issue 3,article,,1926
Bibliography of Quebec or Lower Canada Laws,"Brown, C. R. ",19 Law Libr. J. 90 (1926),Issue 4,comments,Comment,1926
Mutual Co-Operation among Law Librarians in Reference to Current Local Material,"Stebbins, Howard L.",19 Law Libr. J. 109 (1926),Issue 4,article,,1926
English Conveyancing,"Belt, G. Robert;Yorks, Beverley E.",19 Law Libr. J. 113 (1926),Issue 4,article,,1926
Use of Law Books,"Cooley, Roger W.",2 Law Libr. J. 1 (April 1909),Issue 1,article,,1909
Status of the Law Librarian,"Feazel, E. A.",2 Law Libr. J. 21 (July 1909),Issue 2,article,,1909
The Beacon Lights of the Law,"Chipman, Frank E.",2 Law Libr. J. 26 (July 1909),Issue 2,article,,1909
The Forms of Law,"Stimson, Frederic J.",2 Law Libr. J. 45 (October 1909),Issue 3,article,,1909
Two Decades of Comparative Legislation,"Whitten, Robert H.",2 Law Libr. J. 52 (October 1909),Issue 3,article,,1909
Law-Book Making from a Law Librarian's Standpoint,"Small, A. J.",2 Law Libr. J. 57 (October 1909),Issue 3,article,,1909
"Bibliography of Canadian Statute Law, II","Eakins, W. George",2 Law Libr. J. 65 (January 1910),Issue 4,article,,1910
The Harvard Law Library,"Anderson, Robert B.",2 Law Libr. J. 78 (January 1910),Issue 4,article,Problems of Moving Large Law Libraries,1910
The State of Rhode Island Law Library,"Bongartz, J. Harry",2 Law Libr. J. 79 (January 1910),Issue 4,article,Problems of Moving Large Law Libraries,1910
How One Law Library Is Administered,"Wire, G. E.",20 Law Libr. J. 3 (1927),Issue 1,article,,1927
Bar and Allied Association Publications,"Small, A. J.",20 Law Libr. J. 66 (1927),Issue 3,article,,1927
Outline of Massachusetts Statute Law Publications,"Stebbins, Howard L.",20 Law Libr. J. 72 (1927),Issue 3,article,,1927
Reminiscences of a Law Bookseller from 1874 to Modern Times,"Cole, T. L.",20 Law Libr. J. 91 (1927),Issue 4,article,,1927
The Library and the People,"Ridell, William Renwick",20 Law Libr. J. 93 (1927),Issue 4,article,,1927
A Phantom Citation,"Wire, G. E.",20 Law Libr. J. 98 (1927),Issue 4,article,,1927
Chancellor Kent's Law Library,"Fitzpatrick, John T.",21 Law Libr. J. 9 (1928),Issue 1,comments,,1928
Some Unreported Opinions of a Territorial Judge 1805-1823,"Lathrop, Olive C.",21 Law Libr. J. 66 (1928),Issue 3,article,,1928
The State Law Index,"Stewart, Margaret W.",21 Law Libr. J. 78 (1928),Issue 3,comments,,1928
The Legislation of Vermont,"Conant, Harrison J.",21 Law Libr. J. 82 (1928),Issue 3,comments,,1928
"Fundamental Material for the Law School Library, with Particular Reference to the Library of 7500 to 15000 Volumes","Moylan, Helen S.",21 Law Libr. J. 85 (1928),Issue 3,article,,1928
Leather Preservation,"Wire, G. E.",21 Law Libr. J. 103 (1928),Issue 3,article,,1928
"Tate Hall, the Law Building of the University of Missouri","Hogan, Percy A.",22 Law Libr. J. 2 (1929),Issue 1,article,,1929
Civil Law in Louisiana,"Magee, Alice M.",22 Law Libr. J. 5 (1929),Issue 1,article,,1929
The History of the Adoption of the Codes of California,"Parma, Rosamond",22 Law Libr. J. 8 (1929),Issue 1,article,,1929
A Mnemonic Classification for Law Libraries,"Dabagh, Thomas S.",22 Law Libr. J. 30 (1929),Issue 2,article,,1929
Codes and Statutes of California: A Bibliography,"Parma, Rosamond;Armstrong, Elizabeth",22 Law Libr. J. 41 (1929),Issue 2,notes,Bibliography,1929
The Student Assistant,"Compton, Rowena U.",23 Law Libr. J. 24 (1930),Issue 1,comments,,1930
The Law Library Catalog: Systematizing Entries Where Standard Headings Are Inadequate,"Dabagh, Thomas S.",23 Law Libr. J. 27 (1930),Issue 1,comments,,1930
Educational Requirements for Law Libraries,"Hicks, Frederick C. ",23 Law Libr. J. 62 (1930),Issue 2,article,,1930
Educational and Cultural Background of a Law Librarian,"McDaniel, Arthur S.",23 Law Libr. J. 68 (1930),Issue 2,article,,1930
A Bibliography of the Statute Law of Kansas,"Ruppenthal, J. C.",23 Law Libr. J. 79 (1930),Issue 3,legislation,,1930
Our Attitude to the Constitution,"Maltbie, William M.",23 Law Libr. J. 104 (1930),Issue 3,article,,1930
Service in the Law Library ,"Hollzer, Harry A.",23 Law Libr. J. 119 (1930),Issue 4,article,,1930
Reflections,"Small, A. J.",24 Law Libr. J. 12 (1931),Issue 1,comments,,1931
"The Past, Present and Future of the Law Library","Godard, George S.",24 Law Libr. J. 14 (1931),Issue 1,comments,,1931
The Potentialities of the Law Library,"Mettee, Andrew H.",24 Law Libr. J. 18 (1931),Issue 1,comments,,1931
Statute Law Checklists,"Fitzpatrick, John T.",24 Law Libr. J. 22 (1931),Issue 1,comments,,1931
The Cataloging of Legal Material for Non-Legal Purposes,"Randall, William M.",24 Law Libr. J. 55 (1931),Issue 2,comments,,1931
The A B C of Bar Library Cooperation,"Alexander, W. H.",24 Law Libr. J. 112 (1931),Issue 3,article,,1931
The Law Quadrangle of the University of Michigan,"Coffey, Hobart",25 Law Libr. J. 266 (1932),Issue 4,article,,1932
A Catalog of Roman Law and Reclassification in the Columbia Law Library,"Schiller, A. Arthur",26 Law Libr. J. 1 (1933),Issue 1,misc,,1933
A Chart of Ohio Case Law,"Lindquist, Willis J.",26 Law Libr. J. 11 (1933),Issue 1,misc,,1933
A Small Binding Plant in the Building,"Wire, G. E.",26 Law Libr. J. 25 (1933),Issue 2,article,,1933
"A Small Binding Plant in the Building, Part II, Administration","Wire, G. E.",26 Law Libr. J. 39 (1933),Issue 3,article,,1933
Possibilities of American Legal History,"Philbrick, Francis S.",27 Law Libr. J. 191 (1934),Issue 4,article,,1934
The Bibliography on the Constitutional Aspects of the Recovery Program,"Perry, Donald",28 Law Libr. J. 9 (1935),Issue 1,notes,Bibliography,1935
"Index to Memoirs, Orders and Rules of Court, Admissions to the Bar, and Other Interesting Material, Found in United States Supreme Court Reports, Volumes One to Two-Hundred and Ninety-One, Inclusive","Wire, G. E.",28 Law Libr. J. 27 (1935),Issue 1,index,Index,1935
A Bibliography of American Workmen's Compensation Commission Reports and Opinions,"Gummere, John S.",28 Law Libr. J. 42 (1935),Issue 2,index,Bibliography,1935
Law Books and Law Publishers,"Beardsley, Arthur S.",28 Law Libr. J. 51 (1935),Issue 2,article,,1935
How to Build a Law Library without an Appropriation,"Elliott, Lucile",28 Law Libr. J. 64 (1935),Issue 2,article,,1935
Government Documents for the Law Library,"Price, Miles O.",28 Law Libr. J. 67 (1935),Issue 2,article,,1935
Classification for Law Libraries of Under Fifty Thousand Volumes-Part Three,"Wire, G. E.",28 Law Libr. J. 327 (1935),Issue 4,article,,1935
The Activities and Program of the American Association of Law Libraries,"Roalfe, William R.",29 Law Libr. J. 7 (1936),Issue 1,comments,,1936
The Preparation of the Law Library List,"Ryan, Anna M.",29 Law Libr. J. 13 (1936),Issue 1,comments,,1936
Cataloging of Law Libraries of under Fifty Thousand Volumes - Part Two: Session Laws,"Wire, G. E.",29 Law Libr. J. 24 (1936),Issue 2,article,,1936
Fitzherbert's Abridgement,"Thorne, S. E.",29 Law Libr. J. 59 (1936),Issue 3,article,,1936
Preliminary List of Litchfield Law School Notebooks,"Forgeus, Elizabeth",29 Law Libr. J. 63 (1936),Issue 3,article,,1936
The Numerical Classification Scheme of the Legislation Collection in the Harvard Law School Library,"Tomlinson, Marion T.",29 Law Libr. J. 71 (1936),Issue 3,article,,1936
The Massachusetts State Library,"Turner, Ethel M.",29 Law Libr. J. 84 (1936),Issue 3,notes,,1936
"Social Law Library, Boston, Massachusetts","Stebbins, Howard L.",29 Law Libr. J. 85 (1936),Issue 3,notes,,1936
The Boston Meeting of the American Bar Association,"Shafroth, Will",29 Law Libr. J. 86 (1936),Issue 3,notes,,1936
Report on Book Selection Made to the Executive Committee of the American Association of Law Libraries,"Long, Bernita J.",29 Law Libr. J. 91 (1936),Issue 3,comments,,1936
Management of a Small Law Library,"Smith, Claribel H.;Baker, Hettie Gray",3 Law Libr. J. 1 (1910-1911),Issue 1,article,,1910
Response to Address of Welcome,"King, John E.",3 Law Libr. J. 35 (1910-1911),Issue 4,comments,,1910
"Recent Experience in Cataloguing the Allegheny County Law Library, Pittsburg, PA.","Emrich, J. Oscar",3 Law Libr. J. 41 (1910-1911),Issue 4,article,,1910
Loose Leaf Law Reports,"Fredlund, Ingeborg S.",3 Law Libr. J. 44 (1910-1911),Issue 4,article,,1910
Law Reports Loose Leaf System,"Hawley, Eva N.",3 Law Libr. J. 48 (1910-1911),Issue 4,article,,1910
The Duty of the Members of the Faculty to the Librarian and the Duty of the Librarian to the Members of the Faculty,"Wigmore, John H.",30 Law Libr. J. 2 (1937),Issue 1,article,,1937
The Small Law Library and the Librarian,"Horack, H. Claude",30 Law Libr. J. 6 (1937),Issue 1,article,,1937
The Function of the Law School Librarian,"Falknor, Judson F.",30 Law Libr. J. 13 (1937),Issue 1,article,,1937
The Development of Law School Library Standards as Applied by Accrediting Agencies,"Brownfield, Lyman H.",30 Law Libr. J. 22 (1937),Issue 1,article,,1937
Historical Outline and Bibliography of Attorneys General Reports and Opinions-From Their Beginning through 1936,"Morse, Lewis W.",30 Law Libr. J. 39 (1937),Issue 2,comments,Comment,1937
Additions to Preliminary List of Litchfield Law School Notebooks,"Forgeus, Elizabeth",30 Law Libr. J. 248 (1937),Issue 2,index,,1937
"Anglo-American Legal Periodicals Births, Deaths and Changes Since 1933","Gee, Pauline E.",30 Law Libr. J. 489 (1937),Issue 4,index,,1937
Law Cataloging as a Specialized Field,"Bassett, Elise",30 Law Libr. J. 499 (1937),Issue 4,article,,1937
The Odor of Sanctity in the New York State Law Library,"Lyon, Frances D.",30 Law Libr. J. 506 (1937),Issue 4,article,,1937
Proceedings of the Joint Meeting of the American Association of Law Libraries and the Board of Education for Librarianship of the American Association,"Vinton, Margaret E.",30 Law Libr. J. 514 (1937),Issue 4,comments,,1937
Some Nted Trials in Connecticut-A Bibliography,"Gummere, John S.",30 Law Libr. J. 529 (1937),Issue 5,article,,1937
Murder in Middletown,"Bacon, Grace W.",30 Law Libr. J. 540 (1937),Issue 5,article,,1937
Technique of Legal Research for the Practicing Lawyer,"Hicks, Frederick C.",31 Law Libr. J. 1 (1938),Issue 1,article,,1938
The Second International Congress of Comparative Law,"Seasongood, Murray",31 Law Libr. J. 47 (1938),Issue 2,article,,1938
"Recommendations for a County Law Library of 30,000 Volumes","Dabagh, Thomas S.",31 Law Libr. J. 63 (1938),Issue 2,article,,1938
The Library of the Supreme Court of the United States,"Clarke, Oscar D.",31 Law Libr. J. 89 (1938),Issue 3,article,,1938
"The Libraries of the Inns of Court, London","Moylan, Helen S.",31 Law Libr. J. 103 (1938),Issue 3,article,,1938
Development of the American Association of Law Libraries under the Expansion Plan,"Roalfe, William R.",31 Law Libr. J. 111 (1938),Issue 3,article,,1938
Notes on the Law of Copyright and Importation of Books,"Shriver, Harry C.",31 Law Libr. J. 127 (1938),Issue 4,article,,1938
The Relation of the Library to Legal Education,"Roalfe, William R.",31 Law Libr. J. 141 (1938),Issue 4,article,,1938
The Essentials of an Effective Law School Library Service,"Roalfe, William R.",31 Law Libr. J. 333 (1938),Issue 6,article,,1938
Our Set of the Litchfield Law School Notebooks,"Clarke, Oscar D.",31 Law Libr. J. 351 (1938),Issue 6,article,,1938
Some Suggestions for Improving the Law School Library Service,"Roalfe, William R.",32 Law Libr. J. 1 (1939),Issue 1,article,,1939
Reorganization of the Law Library at Baylor University,"Orman, Oscar C. ",32 Law Libr. J. 16 (1939),Issue 1,article,,1939
Results of Reorganization at Baylor,"McDonald, T. E.",32 Law Libr. J. 20 (1939),Issue 1,comments,,1939
Some Problems of a Small Law Library,"Overton, Elvin E.",32 Law Libr. J. 48 (1939),Issue 2,article,,1939
Autonomy in Law Library Administration,"Orman, Oscar C. ",32 Law Libr. J. 60 (1939),Issue 2,article,,1939
A Librarian's Approach to Problems in the Smaller Law School Libraries,"Newman, Helen",32 Law Libr. J. 78 (1939),Issue 2,article,,1939
The Visible File in a Small Law Library-Its Installation and Use,"Behymer, E. Hugh",32 Law Libr. J. 111 (1939),Issue 3,article,,1939
William Warburton's Authorship of Legal Judicature in Chancery Stated,"Jaffe, Mildred Miles",32 Law Libr. J. 123 (1939),Issue 3,comments,,1939
Letters Concerning Some Litchfield Law School Notebooks,"Forgeus, Elizabeth",32 Law Libr. J. 201 (1939),Issue 4,article,,1939
Selected List of Books for the Small Law School Library,"Moylan, Helen S.",32 Law Libr. J. 399 (1939),Issue 6,article,,1939
A Survey of Anglo-American Legal Bibliography,"Friend, W. L. Jr.",33 Law Libr. J. 1 (1940),Issue 1,article,,1940
New York Session Laws-Facts and Foibles,"Lyon, Frances D.",33 Law Libr. J. 18 (1940),Issue 1,article,,1940
Small Claims Courts and Conciliation Tribunals: A Bibliography,"Northrop, Everett H.",33 Law Libr. J. 39 (1940),Issue 2,article,,1940
"The Printing of Wisconsin Session Laws, 1836-1838","Gaebler, Hans D.",33 Law Libr. J. 56 (1940),Issue 2,article,,1940
Law Books and Literature,"Hellyer, David",33 Law Libr. J. 67 (1940),Issue 2,article,,1940
We Look at the Law Library,"McKavitt, Matthew A.;Boyd, Helen",33 Law Libr. J. 81 (1940),Issue 3,article,,1940
Court Rules--Where to Find Them,"Harris, Helen VanGulpen",33 Law Libr. J. 127 (1940),Issue 4,article,,1940
Canadian Court Rules,"Stern, William B.",33 Law Libr. J. 137 (1940),Issue 4,article,,1940
The Llibre Del Consolat De Mar: A Bibliography,"Smith, Robert S.",33 Law Libr. J. 387 (1940),Issue 6,article,,1940
The Place Accorded to the Library in Law School Announcements,"Walker, Annie C.",33 Law Libr. J. 397 (1940),Issue 6,article,,1940
Legal Bibliography and Legal History of the Netherlands,"Landheer, Bartholomew",34 Law Libr. J. 39 (1941),Issue 2,article,,1941
The Practices of Law Publishers as They Affect Law Libraries,"Brown, George Berdine",34 Law Libr. J. 46 (1941),Issue 2,article,,1941
Carry Me Back to Old Virginia,"White, J. Stuart",34 Law Libr. J. 57 (1941),Issue 2,article,,1941
China's Law Library--Soochow University Law School Library,"Yu, Charles Y. S.",34 Law Libr. J. 65 (1941),Issue 2,comments,,1941
"State Statutes, Revisions, Compilations, and Codes","Morse, Lewis W.",34 Law Libr. J. 75 (1941),Issue 3,article,,1941
Milwaukee County Law Library Defense Room,"Drew, Susan M.",34 Law Libr. J. 318 (1941),Issue 6,comments,,1941
A Reports of Year Book 10 Henry V (1422) Found in a Manuscript Abridgment of Year Books,"Rogers, Ralph V.",34 Law Libr. J. 321 (1941),Issue 6,article,,1941
The Influence of Judge Cardozo on the Common Law,"Lehman, Irving",35 Law Libr. J. 2 (1942),Issue 1,article,,1942
The Federal Anti-Trust Law,"Thacher, Thomas D.",35 Law Libr. J. 11 (1942),Issue 1,article,,1942
Improving the Index to Legal Periodicals--How Would You Do It,"Druker, B. B.",35 Law Libr. J. 19 (1942),Issue 1,comments,,1942
Saving Time in Recording Statutes and Session Laws,"Lindquist, Raymond C.",35 Law Libr. J. 21 (1942),Issue 1,comments,,1942
The Library of the United States Court of Customs and Patent Appeals,"Gauges, Joseph G.",35 Law Libr. J. 23 (1942),Issue 1,article,,1942
Progress Report of the Committee to Compile a Bibliography of Legal Bibliographies,"Pollack, Ervin H.",35 Law Libr. J. 29 (1942),Issue 1,comments,,1942
The Duke University Law Library - An Account of Its Development,"Roalfe, William R.",35 Law Libr. J. 41 (1942),Issue 2,article,,1942
Recent Developments in Federal Taxation,"Magill, Roswell",35 Law Libr. J. 56 (1942),Issue 2,article,,1942
Recent Developments and Current Trends in the Law of Life Insurance,"Parkinson, Thomas I.",35 Law Libr. J. 71 (1942),Issue 2,article,,1942
Notes of a Law Book Scout in South America,"Price, Miles O.",35 Law Libr. J. 95 (1942),Issue 2,notes,,1942
Who's Who in Law Libraries,"Jordan, Gamble",35 Law Libr. J. 100 (1942),Issue 2,comments,,1942
Library Planning in Philadelphia,"David, Charles W.",35 Law Libr. J. 123 (1942),Issue 3,article,,1942
Res Judicata,"Webster, Bethuel M.",35 Law Libr. J. 130 (1942),Issue 3,article,,1942
Recent Developments in the Law Relating to Real Estate,"Rickaby, Hamilton C.",35 Law Libr. J. 143 (1942),Issue 3,article,,1942
The Library of the Office of the General Counsel of the United States Treasury,"Miller, Wanda",35 Law Libr. J. 157 (1942),Issue 3,comments,,1942
What Changes Shall Be Proposed to the ALA Committee Pending Publication of the Catalog Rules in Final Form,"Keller, Lena",35 Law Libr. J. 165 (1942),Issue 3,notes,,1942
Microphotography for Law Schools,"Lindquist, Raymond C.",35 Law Libr. J. 193 (1942),Issue 4,article,,1942
An Early Connecticut Law School: Sylvester Gilbert's School at Hebron,"Forgeus, Elizabeth",35 Law Libr. J. 200 (1942),Issue 4,article,,1942
Current Phases of Derivative Actions against Directors,"Carson, Ralph M.",35 Law Libr. J. 203 (1942),Issue 4,article,,1942
Who's Who in the Law Libraries - Edwin Gholson,"Morrison, Alfred A.",35 Law Libr. J. 228 (1942),Issue 4,comments,,1942
Canada's War and Emergency Legislation,"Johnston, George A.",35 Law Libr. J. 467 (1942),Issue 6,article,,1942
Chronology of the Publications of the Opinions of the Judge Advocate General of the Army,"Morse, Lewis W.",35 Law Libr. J. 476 (1942),Issue 6,article,,1942
Current Developments in Constitutional and Administrative Law,"Seymour, Whitney North",35 Law Libr. J. 484 (1942),Issue 6,article,,1942
Resources of Law Libraries in New York City,"Lindsay, Alfred B.;Rothman, Fred B.",36 Law Libr. J. 3 (1943),Issue 1,article,,1943
"Current Developments in the Law of Torts, 1942","Bromley, Bruce",36 Law Libr. J. 16 (1943),Issue 1,legislation,,1943
The Strange Career of Judah P. Benjamin,"Riggs, Laurie H.",36 Law Libr. J. 57 (1943),Issue 2,article,,1943
"Current Developments in Pleading, Practice and Procedure in New York","Medina, Harold R.",36 Law Libr. J. 73 (1943),Issue 2,comments,,1943
A Few Notes on the Department of Justice Library,"McKavitt, Matthew A.",36 Law Libr. J. 105 (1943),Issue 3,notes,,1943
Contributions of the Columbia University Law School Library to the Field of Law Cataloging,"Greenburg, Alice Daspit",36 Law Libr. J. 109 (1943),Issue 3,comments,,1943
Examinations before Trial in New York State,"Saxe, Leonard S.",36 Law Libr. J. 112 (1943),Issue 3,article,,1943
Suggestions to Libraries Participating in the American Association of Law Libraries Exchange,"Poldervaart, Arie",36 Law Libr. J. 166 (1943),Issue 4,comments,,1943
Letter from the President,"Morrison, Alfred A.",36 Law Libr. J. 168 (1943),Issue 4,notes,,1943
Legislative Councils,"Guild, Frederic H.",36 Law Libr. J. 169 (1943),Issue 5,article,,1943
"Anglo-American Legal Periodicals: Births, Deaths and Changes Since 1942","Gee, Pauline E.",36 Law Libr. J. 192 (1943),Issue 5,index,,1943
Law Library of the United States Department of the Interior,"Prince, Huberta A.",37 Law Libr. J. 1 (1944),Issue 1,misc,,1944
Frances D. Lyon Retires from Position as New York State Law Librarian,"Ryan, Anna M.",37 Law Libr. J. 13 (1944),Issue 1,comments,,1944
"University of Washington Law Library Attains 100,000 Volume Mark","Beardsley, Arthur S.",37 Law Libr. J. 43 (1944),Issue 2,article,,1944
Index to Legal Periodicals Contract,"Price, Miles O.",37 Law Libr. J. 57 (1944),Issue 2,index,,1944
General Reference Books for the Law Library,"Davis, Earl H.;Dabagh, Thomas S.",37 Law Libr. J. 61 (1944),Issue 2,index,,1944
American Association of Law Libraries Exchange,"Poldervaart, Arie",37 Law Libr. J. 97 (1944),Issue 3,comments,,1944
"Meeting of the Executive Committee, Statler Hotel, Washington, D.C., February 2 and 3, 1945","Newman, Helen",38 Law Libr. J. 1 (1945),Issue 1,misc,,1945
Latin-American Law Books in Anglo-American Law Libraries,"Stern, William B.",38 Law Libr. J. 4 (1945),Issue 1,article,,1945
Elsie Basset: An Appreciation,"Price, Miles O.",38 Law Libr. J. 12 (1945),Issue 1,comments,,1945
Revival of the University of Virginia Law Library in Wartime,"Farmer, Frances",38 Law Libr. J. 30 (1945),Issue 2,comments,,1945
Topical Law Reporters in the Law Library,"Blender, D. K.",38 Law Libr. J. 161 (1945),Issue 4,article,,1945
The New Mexico Law Library-A History,"Poldervaart, Arie",38 Law Libr. J. 167 (1945),Issue 4,article,,1945
For Fear the Gallows,"Knox, Virginia",38 Law Libr. J. 178 (1945),Issue 4,article,,1945
A Note on 3 A Tennessee Reports,"Ogden, E. Lucy",38 Law Libr. J. 190 (1945),Issue 4,notes,,1945
New York Emergency Commercial Rent Law,"Schmehl, Lawrence H.",39 Law Libr. J. 2 (1946),Issue 1,article,,1946
Daniel Dulany II,"Riggs, Laurie H.",39 Law Libr. J. 8 (1946),Issue 1,article,,1946
A Bibliography of Legal Treatises of the District of Columbia,"Greenwood, Jane L.",39 Law Libr. J. 19 (1946),Issue 1,article,,1946
The Laws and Ordinances of the Guild-Court (Consulado) in Spain and America,"Smith, Robert S.",39 Law Libr. J. 35 (1946),Issue 2,article,,1946
Microcards and Legal Materials,"Rider, Fremont",39 Law Libr. J. 42 (1946),Issue 2,article,,1946
Insuring Your Law Library,"Schmehl, Lawrence H.",39 Law Libr. J. 45 (1946),Issue 2,article,,1946
"Sylvester Gilbert's Law School at Hebron, Connecticut: The Students","Forgeus, Elizabeth",39 Law Libr. J. 49 (1946),Issue 2,article,,1946
Public Law Libraries in New York State,"Lyon, Frances D.",39 Law Libr. J. 52 (1946),Issue 2,article,,1946
Suggestions for Readings for Law Librarians,"Bade, Edward S.",39 Law Libr. J. 260 (1946),Issue 4,misc,,1946
"Anglo American Legal Periodicals: Births, Deaths and Changes Since May, 1945","Gee, Pauline E.",39 Law Libr. J. 272 (1946),Issue 4,comments,,1946
Loaning Books from Law Libraries,"Wire, G. E. ",4 Law Libr. J. 1 (1911-1912),Issue 1,article,,1911
Aid from the Library Staff Reasonably to be Expected by Users of a Law Library,"Field, O. J.",4 Law Libr. J. 3 (1911-1912),Issue 1,article,,1911
The Duty of the Librarian of a University Law Library towards the Library's Patrons,"Fraser, A. H. R.",4 Law Libr. J. 5 (1911-1912),Issue 1,article,,1911
Report of the Committee on Securing Latin-American Laws,"Field, O. J.",4 Law Libr. J. 7 (1911-1912),Issue 2,notes,,1911
Ohio Case Law,"Feazel, E. A.",4 Law Libr. J. 15 (1911-1912),Issue 2,article,,1911
Law and Legislative Library Conditions in Texas,"Kaiser, John Boynton",4 Law Libr. J. 27 (1911-1912),Issue 4,article,,1911
Use of the Printed Cards of the Library of Congress by Law Libraries,"Hastings, C. H.",4 Law Libr. J. 37 (1911-1912),Issue 4,article,,1911
To Law Librarians of the United States and Canada,"Poldervaart, Arie",40 Law Libr. J. 7 (1947),Issue 1,comments,,1947
Class K (Law) at the University of Chicago,"Benyon, Elizabeth V.",40 Law Libr. J. 9 (1947),Issue 1,comments,,1947
Re-opening of the Middle Temple Library,"Hewitt, A. R.",40 Law Libr. J. 23 (1947),Issue 1,comments,,1947
The Educational Background of the University's Law Librarian,"Bitner, Harry",40 Law Libr. J. 49 (1947),Issue 2,article,,1947
